country_code,UNICEF Reporting Region,UNICEF Programme Region,wealth_index,Year,Source,Long Source,Male,Female,Rural,Urban,Primary,Sec & Higher
AFG-Afghanistan,South Asia,ROSA,Low income,2011,MICS 2010-2011,Multiple Indicator Cluster Survey 2010-2011,17.5,18.8,17.6,21.4,21.8,
AFG-Afghanistan,South Asia,ROSA,Low income,2015,DHS 2015,Demographic and Health Survey 2015,55.1,53,53.7,55.1,56.2,68.2
AFG-Afghanistan,South Asia,ROSA,Low income,2018,Afghanistan Health Survey 2018,Afghanistan Health Survey 2018. Amsterdam: KIT Royal Tropical Institute; 2018.,58.7,62,61.7,55.6,57.8,
AGO-Angola,Eastern and Southern Africa,ESARO,Lower middle income,2016,DHS 2015-2016,Demographic and Health Survey 2015-2016,45.1,44.1,39.2,47.8,42.8,53.2
ALB-Albania,Eastern Europe and Central Asia,ECARO,Upper middle income,2000,MICS 2000,Multiple Indicator Cluster Survey 2000,3.4,11.2,7.1,5,7.6,3.2
ALB-Albania,Eastern Europe and Central Asia,ECARO,Upper middle income,2005,MICS 2005,Multiple Indicator Cluster Survey 2005,2,11.5,7.3,,,5.4
ALB-Albania,Eastern Europe and Central Asia,ECARO,Upper middle income,2009,DHS 2008-2009,Demographic and Health Survey 2008-2009,63.1,57.7,61.9,59.6,60.8,63.7
ALB-Albania,Eastern Europe and Central Asia,ECARO,Upper middle income,2018,DHS 2017-2018,Demographic and Health Survey 2017-2018,64.7,63,67.6,58.8,67.5,59.7
ARG-Argentina,Latin America and Caribbean,LACRO,Upper middle income,2020,MICS 2019-2020,Multiple Indicator Cluster Survey 2019-2020,,,,,,
ARM-Armenia,Eastern Europe and Central Asia,ECARO,Upper middle income,2000,DHS 2000,Demographic and Health Survey 2000,24.1,29.4,27,25.2,,26.5
ARM-Armenia,Eastern Europe and Central Asia,ECARO,Upper middle income,2005,DHS 2005,Demographic and Health Survey 2005,32.6,30.5,26.8,35.9,,32
ARM-Armenia,Eastern Europe and Central Asia,ECARO,Upper middle income,2010,DHS 2010,Demographic and Health Survey 2010,50,35.2,45.7,41.2,50.9,42.2
ARM-Armenia,Eastern Europe and Central Asia,ECARO,Upper middle income,2016,DHS 2015-2016,Demographic and Health Survey 2015-2016,,-86.9,,,,
AZE-Azerbaijan,Eastern Europe and Central Asia,ECARO,Upper middle income,2000,MICS 2000,Multiple Indicator Cluster Survey 2000,2.6,4,4.3,1.3,,3
